,psi_00,psi_01,psi_02,psi_03,psi_04,psi_05,psi_06,psi_07,psi_08,psi_squared_0,psi_squared_1,psi_squared_2,psi_squared_3,psi_squared_4,psi_squared_5,psi_squared_6,psi_squared_7,psi_squared_8,v_ev,z_ang
20,(4.635434537312899e-13-8.504038464297546e-15j),(-9.262884264466666e-13-2.6473475382193417e-15j),(4.674866174994743e-12+7.22470971097708e-15j),(-1.0992683872407241e-11+3.611488444980346e-17j),(9.203426129665626e-11-3.2818276489582026e-15j),(-3.3400179656239985e-10-1.2489106379189986e-15j),(7.223622837347912e-09+7.405572978800959e-15j),(-6.441453213592698e-08-2.707934728352223e-15j),(0.0002001529202437176+5.72865022398226e-14j),2.1494485216733474e-25,8.580172574180298e-25,2.1854425950540392e-23,1.2083909871998655e-22,8.470305263191592e-21,1.115572001084705e-19,5.2180726896309145e-17,4.149231950290377e-15,4.0061191482087977e-08,1.0,-73.53444064484611
21,(4.746383003372945e-13-8.482378746460526e-15j),(-9.590983175583206e-13-2.7499899937540107e-15j),(4.782705169249241e-12+7.217422893849965e-15j),(-1.1580430394162893e-11+9.933618867105e-17j),(9.391649000824916e-11-3.2231458665846716e-15j),(-3.5263869403774784e-10-1.3785896161950553e-15j),(7.3403067906690975e-09+7.288210224259333e-15j),(-6.787743237448568e-08-2.711405518767562e-15j),(0.0002012533504858585+5.707126637031518e-14j),2.253534668962742e-25,9.198771451881667e-25,2.2874320827156645e-23,1.3410636812391941e-22,8.820307105858232e-21,1.2435404853454883e-19,5.3880103781195985e-17,4.6073458257528835e-15,4.05029110817838e-08,1.0,-73.46116267708842
22,(4.872391484585473e-13-8.451329616016705e-15j),(-1.0358040682194131e-12-2.8094258918012624e-15j),(4.899143064386884e-12+7.196743742079685e-15j),(-1.226766409300059e-11+1.5715969668648192e-16j),(9.590749717126986e-11-3.138662665291471e-15j),(-3.717573334427897e-10-1.5176777559152197e-15j),(7.463258342e-09+7.190269820961322e-15j),(-7.138729223265122e-08-2.7083145254135765e-15j),(0.00020240782190118948+5.688439705028519e-14j),2.3747341276288884e-25,1.072897960613728e-24,2.4001654558450596e-23,1.5049558232339515e-22,9.198248023508341e-21,1.3820351497079683e-19,5.570022507948429e-17,5.0961454923099526e-15,4.096892636678364e-08,1.0,-73.38788470933073
23,(4.996493634766041e-13-8.425314204746016e-15j),(-1.0713735361691913e-12-2.8839337436400953e-15j),(5.019432352679772e-12+7.173734149010526e-15j),(-1.288451452743897e-11+2.4863502494176145e-16j),(9.800132272320755e-11-3.0959511918027037e-15j),(-3.911234969478186e-10-1.643258756135503e-15j),(7.592567190800024e-09+7.036723767517621e-15j),(-7.494618935318737e-08-2.7052000148988888e-15j),(0.00020361656411375598+5.666215962429018e-14j),2.497204723420243e-25,1.1478495710775152e-24,2.5194752605590036e-23,1.6601071466960526e-22,9.60425926508319e-21,1.5297758986739055e-19,5.764707654686249e-17,5.6169312985638236e-15,4.14597051814913e-08,1.0,-73.31460674157303
24,(5.137180864924658e-13-8.381848255105276e-15j),(-1.151039040226614e-12-2.9345759160260887e-15j),(5.148873464481261e-12+7.135563117266973e-15j),(-1.3602511133421883e-11+3.332322346021675e-16j),(1.0020879968044279e-10-3.0515465262877664e-15j),(-4.1101009855901885e-10-1.7496154148088036e-15j),(7.72835151476726e-09+6.854366439592819e-15j),(-7.855688453725186e-08-2.712098105411895e-15j),(0.00020487981740161063+5.638017447055871e-14j),2.639765277696522e-25,1.3248994838616117e-24,2.651094886950026e-23,1.8502830924590997e-22,1.0041803542707044e-20,1.6892930112055557e-19,5.972741713585237e-17,6.171184108199129e-15,4.1975739578517313e-08,1.0,-73.24132877381534
25,(5.275389864741727e-13-8.343062490681347e-15j),(-1.1896731159603545e-12-3.0027858668503005e-15j),(5.282280367298678e-12+7.089556430763773e-15j),(-1.4251669056187592e-11+3.7173477618510875e-16j),(1.0252336720608265e-10-3.0145568316251363e-15j),(-4.3118346412019057e-10-1.86733960448346e-15j),(7.870710591988665e-09+6.683291825394263e-15j),(-8.222152002468196e-08-2.7383409979620694e-15j),(0.00020619783266947504+5.612691350305967e-14j),2.783669889419208e-25,1.4153311395617812e-24,2.7902536140559435e-23,2.0311007102528167e-22,1.0511040832360815e-20,1.8591917973417462e-19,6.194808522288723e-17,6.7603783551691845e-15,4.251754619758883e-08,1.0,-73.16805080605765
26,(5.430755843846432e-13-8.285022631033081e-15j),(-1.2725557432746577e-12-3.08661572899682e-15j),(5.425277618520254e-12+7.0450974032952926e-15j),(-1.500364644671599e-11+4.499182764453023e-16j),(1.0495700264970284e-10-2.963886428522963e-15j),(-4.5191736606861946e-10-1.9742434038330677e-15j),(8.019774163201583e-09+6.523657399519764e-15j),(-8.594292461104268e-08-2.7613064180737075e-15j),(0.00020757087152994453+5.589328814105689e-14j),2.9499973195471845e-25,1.619407646937975e-24,2.9433686871414223e-23,2.2510940690047985e-22,1.101597241399435e-20,2.0422930575829627e-19,6.431677762879821e-17,7.386186290699375e-15,4.308566670770074e-08,1.0,-73.09477283829995
27,(5.58364359260959e-13-8.23111343145545e-15j),(-1.3145594577381974e-12-3.1473474900095225e-15j),(5.572393191173275e-12+7.014177773312231e-15j),(-1.5688463217471726e-11+4.915738754937953e-16j),(1.0750253486360257e-10-2.912340056448585e-15j),(-4.729789600651269e-10-2.14132221153864e-15j),(8.175651285470302e-09+6.396708776654933e-15j),(-8.972331128852731e-08-2.7523142936589372e-15j),(0.00020899920627383994+5.5670593335607984e-14j),3.118385089212227e-25,1.7280764737251666e-24,3.1051615075724116e-23,2.461278783676082e-22,1.1556795010581811e-20,2.2370909666887423e-19,6.684127394165314e-17,8.05027258857798e-15,4.36806682230951e-08,1.0,-73.02149487054226
28,(5.75483211927956e-13-8.150756609790728e-15j),(-1.401011900340506e-12-3.2072531920195037e-15j),(5.7298998968138194e-12+6.963008487299209e-15j),(-1.647786809665961e-11+5.140482935925053e-16j),(1.1017296156039419e-10-2.8445353792781314e-15j),(-4.946429914357143e-10-2.2838070228177355e-15j),(8.338483796837745e-09+6.281523973466156e-15j),(-9.356558316462342e-08-2.7532559358574295e-15j),(0.00021048311995821355+5.547238660802554e-14j),3.3124736204422874e-25,1.9628446313687535e-24,3.2831801310994215e-23,2.715201372751582e-22,1.2138081467079475e-20,2.4467168898168786e-19,6.953031203016507e-17,8.754518352936069e-15,4.430314378734372e-08,1.0,-72.94821690278457
29,(5.922970516298394e-13-8.079507222961429e-15j),(-1.4467427116734982e-12-3.2965933205878106e-15j),(5.891524923934854e-12+6.912000051052672e-15j),(-1.7201866695133975e-11+5.34573844715729e-16j),(1.1296062525211499e-10-2.7927874803015084e-15j),(-5.166773502770028e-10-2.4539466618979684e-15j),(8.508390876801893e-09+6.1713004708197454e-15j),(-9.747203052088704e-08-2.7615783297639883e-15j),(0.00021202290637427132+5.5265489668731834e-14j),3.508810758063665e-25,2.0930753413079082e-24,3.4710113705090293e-23,2.959042180829287e-22,1.2760102865148421e-20,2.6695548429528653e-19,7.239271531248377e-17,9.500796733864744e-15,4.495371282739302e-08,1.0,-72.87493893502688
