,L,n
161,56.73673673673674,11
162,57.02702702702703,10
163,57.31731731731732,10
164,57.60760760760761,11
165,57.8978978978979,11
166,58.18818818818819,10
167,58.47847847847848,10
168,58.76876876876877,10
169,59.05905905905906,11
170,59.34934934934935,12
171,59.63963963963964,10
172,59.92992992992993,10
173,60.22022022022022,10
174,60.510510510510514,10
175,60.8008008008008,10
176,61.091091091091094,10
177,61.38138138138138,12
178,61.671671671671675,11
179,61.96196196196196,12
180,62.252252252252255,11
181,62.54254254254254,11
182,62.832832832832835,11
183,63.12312312312312,11
184,63.413413413413416,12
185,63.7037037037037,11
186,63.993993993993996,11
187,64.28428428428428,11
188,64.57457457457457,11
189,64.86486486486487,11
190,65.15515515515516,11
191,65.44544544544544,12
192,65.73573573573574,11
193,66.02602602602603,11
194,66.31631631631632,12
195,66.60660660660662,11
196,66.89689689689689,11
197,67.18718718718719,11
198,67.47747747747748,12
199,67.76776776776777,12
200,68.05805805805807,12
201,68.34834834834835,12
202,68.63863863863864,12
203,68.92892892892894,13
204,69.21921921921921,13
205,69.50950950950951,12
206,69.7997997997998,12
207,70.09009009009009,12
208,70.38038038038039,12
209,70.67067067067067,12
210,70.96096096096096,12
211,71.25125125125126,12
212,71.54154154154153,12
213,71.83183183183183,13
214,72.12212212212212,12
215,72.41241241241241,12
216,72.70270270270271,12
217,72.992992992993,12
218,73.28328328328328,12
219,73.57357357357358,13
220,73.86386386386386,13
221,74.15415415415416,13
222,74.44444444444444,13
223,74.73473473473473,13
224,75.02502502502503,13
225,75.31531531531532,13
226,75.6056056056056,14
227,75.8958958958959,13
228,76.18618618618619,15
229,76.47647647647648,13
230,76.76676676676676,14
231,77.05705705705707,13
232,77.34734734734735,13
233,77.63763763763764,13
234,77.92792792792793,13
235,78.21821821821823,13
236,78.50850850850851,13
237,78.7987987987988,13
238,79.08908908908909,13
239,79.37937937937939,13
240,79.66966966966967,14
241,79.95995995995996,14
242,80.25025025025025,14
243,80.54054054054055,14
244,80.83083083083083,14
245,81.12112112112112,14
246,81.41141141141141,14
247,81.70170170170171,14
248,81.991991991992,14
249,82.28228228228228,14
250,82.57257257257257,14
251,82.86286286286287,14
252,83.15315315315316,14
253,83.44344344344344,14
254,83.73373373373373,14
255,84.02402402402403,14
256,84.31431431431432,14
257,84.6046046046046,14
258,84.8948948948949,14
259,85.18518518518519,14
260,85.47547547547548,15
261,85.76576576576576,14
262,86.05605605605606,15
263,86.34634634634635,15
